		Connectivity & Expandability			Cost Considerations			Display Quality			GOAL		Laptop Alternatives							Main Criteria						Performance Capabilities					Portability Factors		
		Port Selection	Wireless Capabilities	Purchase Price	Value for Money	Color Accuracy	Resolution & Size	Select Best Laptop for DS & AI Student	Acer Swift 3	ASUS ROG Zephyrus G14	Dell XPS 15	Lenovo ThinkPad P16	MacBook Pro 16"	Microsoft Surface Laptop Studio	Connectivity & Expandability	Cost Considerations	Display Quality	Performance Capabilities	Portability Factors	Graphics Processing (GPU)	Memory (RAM)	Processor (CPU)	Storage	Battery Life	Weight & Form Factor
	Cost Considerations	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Display Quality	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Performance Capabilities	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.126670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Portability Factors	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046327	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Performance Capabilities	Graphics Processing (GPU)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.216828	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Memory (RAM)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Processor (CPU)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Storage	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044305	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Portability Factors	Battery Life	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	Weight & Form Factor	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

